Date,Price,Open,High,Low,Vol.(millions),Change
10/31/2024,249.85,257.99,259.75,249.25,66.58,-0.0299
10/30/2024,257.55,258.04,263.35,255.82,53.99,-0.0076
10/29/2024,259.52,264.51,264.98,255.51,80.52,-0.0114
10/28/2024,262.51,270,273.54,262.24,107.65,-0.0248
10/25/2024,269.19,256.01,269.49,255.32,161.61,0.0334
10/24/2024,260.48,244.68,262.12,242.65,204.49,0.2192
10/23/2024,213.65,217.13,218.72,212.11,80.94,-0.0198
10/22/2024,217.97,217.31,218.22,215.26,43.27,-0.0040
10/21/2024,218.85,218.9,220.48,215.73,47.33,-0.0084
10/18/2024,220.7,220.71,222.28,219.23,49.61,-0.0009
10/17/2024,220.89,221.59,222.08,217.9,50.79,-0.0020
10/16/2024,221.33,221.4,222.82,218.93,49.63,0.0080
10/15/2024,219.57,220.01,224.26,217.12,62.99,0.0019
10/14/2024,219.16,220.13,221.91,213.74,86.29,0.0062
10-11-2024,217.8,220.13,223.34,214.38,142.63,-0.0878
10-10-2024,238.77,241.81,242.79,232.34,83.09,-0.0095
10-09-2024,241.05,243.82,247.43,239.51,66.29,-0.0141
10-08-2024,244.5,243.56,246.21,240.56,56.30,0.0152
10-07-2024,240.83,249,249.83,240.7,68.11,-0.0370
10-04-2024,250.08,246.69,250.96,244.58,86.73,0.0391
10-03-2024,240.66,244.48,249.79,237.81,80.73,-0.0336
10-02-2024,249.02,247.55,251.16,241.5,93.98,-0.0349
10-01-2024,258.02,262.67,263.98,248.53,87.40,-0.0138
09/30/2024,261.63,259.04,264.86,255.77,80.87,0.0045
09/27/2024,260.46,257.38,260.7,254.12,70.99,0.0245
09/26/2024,254.22,260.6,261.75,251.53,67.14,-0.0109
09/25/2024,257.02,252.54,257.05,252.28,65.03,0.0108
09/24/2024,254.27,254.08,257.19,249.05,88.49,0.0171
09/23/2024,250,242.61,250,241.92,86.93,0.0493
09/20/2024,238.25,241.52,243.99,235.92,99.88,-0.0232
09/19/2024,243.92,234,244.24,232.13,102.70,0.0736
09/18/2024,227.2,230.09,235.68,226.88,78.01,-0.0029
09/17/2024,227.87,229.45,234.57,226.55,66.76,0.0048
09/16/2024,226.78,229.3,229.96,223.53,54.32,-0.0152
09/13/2024,230.29,228,232.67,226.32,59.52,0.0021
09-12-2024,229.81,224.66,231.45,223.83,72.02,0.0074
09-11-2024,228.13,224.55,228.47,216.8,83.55,0.0087
09-10-2024,226.17,220.07,226.4,218.64,78.89,0.0458
09-09-2024,216.27,216.2,219.87,213.67,67.44,0.0263
09-06-2024,210.73,232.6,233.6,210.51,112.18,-0.0845
09-05-2024,230.17,223.49,235,222.25,119.36,0.0490
09-04-2024,219.41,210.59,222.22,210.57,80.65,0.0418
09-03-2024,210.6,215.26,219.9,209.64,76.71,-0.0164
08/30/2024,214.11,208.63,214.57,207.03,63.37,0.0380
08/29/2024,206.28,209.8,214.89,205.97,62.31,0.0026
08/28/2024,205.75,209.72,211.84,202.59,64.12,-0.0165
08/27/2024,209.21,213.25,215.66,206.94,62.82,-0.0188
08/26/2024,213.21,218.75,219.09,211.01,59.30,-0.0323
08/23/2024,220.32,214.46,221.48,214.21,81.53,0.0459
08/22/2024,210.66,223.82,224.8,210.32,79.51,-0.0565
08/21/2024,223.27,222.67,224.66,218.86,70.15,0.0098
08/20/2024,221.1,224.88,228.22,219.56,74.00,-0.0073
08/19/2024,222.72,217.07,222.98,214.09,76.44,0.0305
08/16/2024,216.12,211.15,219.8,210.8,88.77,0.0092
08/15/2024,214.14,205.02,215.88,204.82,89.85,0.0634
08/14/2024,201.38,207.39,208.44,198.75,70.25,-0.0310
08/13/2024,207.83,198.47,208.49,197.06,76.25,0.0524
08-12-2024,197.49,199.02,199.26,194.67,64.05,-0.0125
08-09-2024,200,197.05,200.88,195.11,58.65,0.0058
08-08-2024,198.84,195.7,200.7,192.04,65.03,0.0369
08-07-2024,191.76,200.77,203.49,191.48,71.16,-0.0443
08-06-2024,200.64,200.75,202.9,192.67,73.78,0.0088
08-05-2024,198.88,185.22,203.88,182,100.31,-0.0423
08-02-2024,207.67,214.88,216.13,205.78,82.88,-0.0424
08-01-2024,216.86,227.69,231.87,214.33,83.86,-0.0655
07/31/2024,232.07,227.9,234.68,226.79,67.50,0.0424
07/30/2024,222.62,232.25,232.41,220,100.56,-0.0408
07/29/2024,232.1,224.9,234.27,224.7,129.20,0.0560
07/26/2024,219.8,221.19,222.28,215.33,94.60,-0.0020
07/25/2024,220.25,216.8,226,216.23,100.64,0.0197
07/24/2024,215.99,225.42,225.99,214.71,167.94,-0.1233
07/23/2024,246.38,253.6,255.76,245.63,111.93,-0.0204
07/22/2024,251.51,244.21,253.21,243.75,101.23,0.0515
07/19/2024,239.2,247.79,249.44,236.83,87.40,-0.0402
07/18/2024,249.23,251.09,257.14,247.2,110.87,0.0029
07/17/2024,248.5,252.73,258.47,246.18,115.59,-0.0314
07/16/2024,256.56,255.31,258.62,245.8,126.33,0.0155
07/15/2024,252.64,255.97,265.6,251.73,146.91,0.0178
