Date,Price,Open,High,Low,Vol.(millions),Change
14-08-2024,201.38,207.39,208.44,198.75,70.25,-0.031
13-08-2024,207.83,198.47,208.49,197.06,76.25,0.0524
12-08-2024,197.49,199.02,199.26,194.67,64.05,-0.0125
09-08-2024,200,197.05,200.88,195.11,58.65,0.0058
08-08-2024,198.84,195.7,200.7,192.04,65.03,0.0369
07-08-2024,191.76,200.77,203.49,191.48,71.16,-0.0443
06-08-2024,200.64,200.75,202.9,192.67,73.78,0.0088
05-08-2024,198.88,185.22,203.88,182,100.31,-0.0423
02-08-2024,207.67,214.88,216.13,205.78,82.88,-0.0424
01-08-2024,216.86,227.69,231.87,214.33,83.86,-0.0655
31-07-2024,232.07,227.9,234.68,226.79,67.5,0.0424
30-07-2024,222.62,232.25,232.41,220,100.56,-0.0408
29-07-2024,232.1,224.9,234.27,224.7,129.2,0.056
26-07-2024,219.8,221.19,222.28,215.33,94.6,-0.002
25-07-2024,220.25,216.8,226,216.23,100.64,0.0197
24-07-2024,215.99,225.42,225.99,214.71,167.94,-0.1233
23-07-2024,246.38,253.6,255.76,245.63,111.93,-0.0204
22-07-2024,251.51,244.21,253.21,243.75,101.23,0.0515
19-07-2024,239.2,247.79,249.44,236.83,87.4,-0.0402
18-07-2024,249.23,251.09,257.14,247.2,110.87,0.0029
17-07-2024,248.5,252.73,258.47,246.18,115.59,-0.0314
16-07-2024,256.56,255.31,258.62,245.8,126.33,0.0155
15-07-2024,252.64,255.97,265.6,251.73,146.91,0.0178
12-07-2024,248.23,235.8,251.84,233.09,155.96,0.0299
11-07-2024,241.03,263.3,271,239.65,221.71,-0.0844
10-07-2024,263.26,262.8,267.59,257.86,128.52,0.0035
09-07-2024,262.33,251,265.61,250.3,160.74,0.0371
08-07-2024,252.94,247.71,259.44,244.57,157.22,0.0056
05-07-2024,251.52,249.81,252.37,242.46,154.5,0.0208
03-07-2024,246.39,234.56,248.35,234.25,166.56,0.0654
02-07-2024,231.26,218.89,231.3,218.06,205.05,0.102
01-07-2024,209.86,201.02,213.23,200.85,135.69,0.0605
28-06-2024,197.88,199.55,203.2,195.26,95.44,0.0023
27-06-2024,197.42,195.17,198.72,194.05,72.75,0.0053
26-06-2024,196.37,186.54,197.76,186.36,95.74,0.0481
25-06-2024,187.35,184.4,187.97,182.01,63.68,0.0261
24-06-2024,182.58,184.97,188.8,182.55,61.99,-0.0023
21-06-2024,183.01,182.3,183.95,180.69,63.03,0.0079
20-06-2024,181.57,184.68,185.21,179.66,55.89,-0.0178
18-06-2024,184.86,186.56,187.2,182.37,68.98,-0.0138
17-06-2024,187.44,177.92,188.81,177,109.79,0.053
14-06-2024,178.01,185.8,186,176.92,82.04,-0.0244
13-06-2024,182.47,188.39,191.08,181.23,118.98,0.0292
