Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24
54.05,59.69,84.43,24.89,50.3,32.79,24.24,107.65,66.26,42.66,43.88,33.67,60.58,83.91,47.71,56.29,44.24,36.6,51.18,34.01,46.62,68.31,58.53,48.29,115.98,106.16,106.98,45.54,114.33,156.4,95.61,46.28,107.82,80.63,87.33,104,106.55,88.69,98.47,95.08,142.79,162.72,104.94,136.52,248.21,93,69.39,106.5,70.38,58.57,221.78,150.58,109.44,184.75,122.23,123.48,59.2,97.19,72.19,273.31,326.05,250.48,307.34,309.87,157.78,235.46,214.51,303.64,217.64,107.02,52.07,135.67,76.1,59.41,88.27,83.94,97.17,53.29,49.11,69.31,41.77,56.77,104.33,75.17,66.99,57.65,66.84,51.72,86.1,119.13,82.54,89.36,87.09,79.43,91.29,139.03,195.68,182.11,146,92.07,105.59,160.17,112.44,88.2,101.54,88.92,150.35,135.93,103.16,120.83,97.15,100.25,79.66,118.98,126.33,89.85,66.76,62.99,114.44
67.55,40.7,73.41,37.05,55.11,29.77,75.06,62.93,53.79,65.02,32.23,76.57,87.58,87.38,52.75,64.07,42.65,46.69,46.73,26.81,34.49,85.21,51.52,56.95,63.06,93.86,97.46,58.47,62.29,100.96,95.36,51.21,96.78,49.4,206.03,82.14,85.29,84.64,91.76,105,85.11,181.1,84.36,90.96,124.42,142.9,108.09,124.11,55.15,62.53,154.21,109.09,112.25,190.74,146.47,78.11,63.42,100.56,66.13,127.56,204.44,381.34,359.92,196.92,175.47,210.77,139.95,247.12,230.34,98.33,59.82,126.29,77,78.24,96.59,119.06,110.49,66.43,63.89,71.16,84.61,72.62,79.63,82.77,75.44,51.29,84.03,49.85,80.24,107.39,80.89,88.14,60.23,75.89,66.57,139.39,170.29,229.59,121.37,125.73,98.29,167.92,142.36,112.49,103.7,93.56,136.82,116.42,108.6,111.35,108.21,97,59.81,82.04,115.59,88.77,78.01,49.63,
62.3,77.31,72.31,38.39,56.33,82.69,74.68,54.06,56.45,37.62,42.18,49.48,47.49,58.31,56.74,95.36,84.26,53.33,38.53,25.72,36.16,104.87,73.31,52.32,93.94,85.15,54.21,92.24,100.68,98.24,77.49,75.41,73.79,74.09,123.71,102.37,73.32,60.14,112.26,98.37,66.31,191.43,88.73,284.38,110.24,129.83,145.63,136.08,362.26,107.13,177.01,76.9,266.8,98.63,71.47,79.68,73.25,71.69,116.04,212.05,267.05,264.52,356.79,221.2,144.55,148.36,256.82,183.08,259.22,108.86,59.49,168.81,61.79,53.87,121.12,106.83,118.74,68.1,46.46,61.05,74.27,52.14,94.34,100.88,70.49,55.18,66.58,70.71,87.81,92.64,88.86,68.77,61.64,66.57,64.34,159.56,138.86,213.74,133.2,210.97,125.47,165.61,175.16,120.72,122.52,125.15,142.77,106.74,102.26,104.55,77.27,82.44,77.45,109.79,110.87,76.44,102.7,50.79,
61.75,89.73,127.13,51.49,29.56,41.74,91.63,73.59,91.8,223.5,37.57,45.21,46.86,44.39,70.68,77.91,102.99,67.94,66.43,24.89,39.5,76.09,78.16,70.34,74.48,131.32,103.63,67.65,84.81,111.58,73.52,81.12,69.27,75.93,108.92,89.31,93.16,48.29,71.46,91.36,108.78,125.75,77.5,261.04,75.76,81.32,120.07,120.25,181,133.64,103.62,88.14,307.89,177.95,105.73,62.56,97.59,86.31,101.01,271.8,470.54,215.09,452.93,303.14,109.64,146.28,242.36,309.18,328.43,94.97,80.52,666.38,60.2,56.87,100.11,93.65,92.46,73.68,41.86,42.94,48.99,42.1,62.7,56.48,103.42,68.5,100.41,105.42,90.3,122.79,142.03,47.5,62.56,117.8,76.05,145.42,203.12,180.02,129.68,123.54,109.52,211.8,161.8,136.28,119.95,170.77,116.56,125.1,117.95,103.84,83.85,96.1,61.73,68.98,87.4,74,99.88,49.61,
51.64,127.5,64.04,117.95,33.35,36.95,46.57,98.85,54.97,62.75,66.01,29.3,40.48,75.9,79.62,41.75,135.11,356.14,38.7,30.98,35.74,44.15,65.42,78.11,77.2,223.73,60.89,76.25,70.31,73.85,129.56,97.43,122.39,73.96,73.76,65.78,81.98,104.55,89.38,84.42,137.74,119.51,164.89,197.58,72.64,140.63,70.3,83.4,187.95,86.11,89.21,182.21,270.06,123.03,102.69,117,65.87,76.62,91.65,221.78,294.77,227.88,424.28,213.37,183.82,130.2,212.42,322.34,238.74,97.11,183.57,174.14,123.52,111.81,128.68,106.77,78.09,74.44,45.32,44.53,45.38,94.44,64.93,71.52,152.38,83.29,81.98,69.7,144.97,101.53,103.47,61.4,70.55,75.71,92.88,210.09,158.7,191.83,153.39,140.01,136.2,166.88,137,135.7,127.52,138.01,122.29,109.59,106.61,92.74,73.18,87.08,115.27,55.89,101.23,70.15,86.93,47.33,
48.52,99.05,39.47,66.17,52.48,68.42,33.41,143.72,51.72,42.38,37.89,29.42,74.46,89.77,64.74,56.79,76.54,151.96,67.36,71.77,43.58,41.27,84.05,46.67,47.28,122.57,49.8,101.07,64.94,112.95,104.84,64.83,114.09,86.21,48.66,63.24,79.31,87.26,74.1,73.4,134.19,153.99,143.86,89.19,67.23,84,63.04,122.45,120.18,99.4,131.18,164.16,280.28,86.26,75.35,98.47,194.12,69.38,253.06,199.99,215.3,259.36,246.82,198.55,149.81,95.44,364.93,300.95,285.22,119.98,234.13,155.59,69.39,199.82,118.54,85.24,103.67,57.48,43.81,60.79,35.84,68.64,99.22,93.63,86.6,95.26,105.87,68.34,88.9,104.2,64.07,55.84,63.75,100.45,78.45,166.99,192.73,146.36,150.38,122,132,177.46,112.76,130.6,104.64,150.68,118.12,93.37,123.37,78.84,75.58,107.1,88.31,63.03,111.93,79.51,88.49,43.27,
41.72,58.64,54.75,36.42,54.71,58.06,42.55,64.91,56.6,63.53,37.2,23.32,54.26,80.93,74.23,55.06,45.21,105.4,51.45,38.56,35.92,36.68,73.38,70.06,47.5,171.91,84.71,70.43,64.78,96.69,72.31,74.32,107.34,67.38,68.34,65.68,101.1,65.1,99.82,85.28,89.78,103.97,106.41,77.21,117.65,285.42,119.88,128.63,108.87,128.74,153.23,160.91,398.21,92.73,166.09,128.4,141.66,168.24,185.19,120.82,204.12,212.31,343.43,198.56,121.35,95.48,290.95,159.88,289.68,101.15,187.43,99.52,82,110.3,91.48,93.12,84.02,93.3,76.01,39.25,64.12,188.56,108.52,92.71,104.87,135.32,120.68,136.13,89.09,95.77,66.82,63.99,58.08,96.51,109.54,208.64,234.82,142.23,144.19,153.36,156.95,179.99,95.86,101.08,101.99,118.23,65.13,86.89,198.08,111.75,74.23,124.55,71.98,61.99,167.94,81.53,65.03,80.94,
47.24,97.09,85.96,175.09,56.84,36.18,70.41,74.45,73.52,50.87,59.86,10.65,68.89,86.26,74.41,48.36,46.99,108.3,43.34,26.44,50.6,84.49,35.49,88.74,57.02,91.17,93.46,52.03,75.63,99.06,124.54,68.77,90.91,128.91,74.24,70.68,68.09,71.96,125.63,60.2,62.65,111.79,69.46,54.04,127.64,300.87,95.37,149.09,96.35,167.76,110.26,327.74,212.05,127.61,336.27,75.82,181.18,447.29,119.34,159.72,176.83,364.16,318.34,310.22,173.24,164.39,240.73,213.59,201.63,84.72,98.74,68.6,79.13,117.07,101.39,88.31,85.92,137.95,98.44,37.94,84.21,187.25,67.68,71.15,147.11,76.07,68.92,76.96,92.14,89.18,88.11,57.26,61.93,85.33,50.67,221.07,306.59,161.03,116.53,127.02,137.6,164.97,103.7,99.78,136.6,107.07,112.03,106.49,107.34,108.65,113.19,181.18,65.58,63.68,100.64,59.3,67.14,204.49,
53.22,58.23,61.92,91.28,,42.74,58.44,114.84,55.55,52.79,29.24,28.52,42.78,90.98,58.89,48.09,61.09,93.19,36.29,33.58,31.33,196.41,67.94,56.74,61.74,,119.81,67.58,75.21,104.95,73.21,52.26,79.79,75.35,131.51,64.75,71.21,91.04,208.08,65.34,58.13,125.01,85.55,196.19,504.75,312.61,61.91,94.54,69.33,157.81,131.69,335.41,154.69,95.1,150.42,81.31,166.85,450.09,83.45,149.35,273.25,368.46,261.33,228.33,109.14,138.82,237.13,355.4,149.16,68.06,150.78,96.84,104.97,123.27,117.67,66.81,79.11,97.49,48.02,39.64,76.14,115.58,35.04,60.32,134.79,99.01,62.03,124.95,106,90.67,84.72,53.23,54.67,61.64,93.04,221.92,230.88,153.14,120.85,122.52,96.87,159.77,111.45,106.61,117.06,115.11,148.55,113.62,125.01,99.81,81.8,126.43,59.74,95.74,94.6,62.82,70.99,161.61,
45.1,,129.07,59.04,,57.58,41.85,82.71,73.94,40.93,39.9,36.09,,67.49,60.22,37.78,54.75,89.92,46.06,49,40.91,64.2,66.59,60.67,,,55.14,,117.03,94.54,128.03,56.46,76.61,104.7,65.27,56.66,70.77,,315.02,65.47,85,125.97,102.21,114.74,,411.38,46.21,,168.75,,101.61,250.72,179.53,102.77,139.1,48.58,89.19,283.05,36.98,189.02,435.09,,215.66,243.24,177.19,132.82,141.4,301.22,151.02,76.35,160.95,68.73,,,101.56,86.54,68.21,64.88,91.18,41.5,62.83,81.64,58.39,56.15,104.44,,102.51,88.13,89.3,82.9,95.31,57.16,77.62,69.15,83.36,157.78,196.81,,98.66,,162.06,131.28,84.58,107.67,128.52,94.88,135.4,100.89,109.98,85.91,77.66,109.82,54.78,,129.2,64.12,80.87,107.65,
,,151.34,58.68,,52.18,30.52,70.5,,27.08,,55.47,,,60.49,81.21,41.84,72.65,,47.53,38.79,70.38,53.21,69.64,,,62.23,,116.74,123.32,,61.11,,63.82,,,93.21,,227.56,63.42,112.35,97.39,76.15,111.71,,217.29,84.43,,188.54,,89.87,141.97,118.9,,121.64,77.75,,190.26,,154.39,235.79,,179.97,427.08,,135.4,114.32,355.12,144.44,67.97,,128.54,,,85.91,122.28,,52.14,88.97,55.81,53.87,89.76,81.28,47.04,,,73.61,,101.91,94.6,,41.87,67.73,61.55,109.19,,,,123.66,,128.82,112.62,,134.05,,136.45,132.35,,103.22,,,243.87,77.79,,100.56,62.31,,80.52,
,,75.4,,,46.3,33.34,,,66.58,,40.73,,,120.19,,,,,49.15,,,,,,,49.42,,149.45,87.73,,51.19,,85.09,,,,,,,88.8,,,108.25,,136.9,,,,,,,156.1,,137.67,139.92,,144.63,,,,,266.57,,,253.78,183.7,,,127.76,,148.95,,,118.3,,,56.77,,62.57,,,,40.73,,,59.87,,,,,50.54,,,,,,,110.25,,150.71,,,121.99,,118.07,,,,,,127.03,67.32,,67.5,63.37,,53.99,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.09,,,,,,,,,,,,80.63,,114.37,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,100.01,,,,,,,,,,,,48.99,,,,,52.11,,,,,,,170.22,,,,,108.86,,,,,,,,,,,,,,66.58,
